"","artist","avg_stream","avg_dance","avg_energy","avg_tempo","avg_key","avg_loudness","avg_speech","avg_acoust","avg_instru","avg_live","avg_valence"
"1","Post Malone",1525126385.3,0.6693,0.635,122.9952,5.3,-5.205,0.06945,0.22132,0.000251188,0.12998,0.4455
"2","Ed Sheeran",1439488155.7,0.7136,0.6089,105.693,4.7,-5.5264,0.05744,0.3083,0.00006489,0.17281,0.566
"3","Dua Lipa",1340807627.4,0.7469,0.7347,116.2041,5.7,-4.7274,0.07142,0.045934,0.000011139,0.14699,0.6409
"4","XXXTENTACION",1322435169.9,0.7503,0.496,120.8087,6,-8.1718,0.13005,0.47497,0.001323853,0.1331,0.4186
"5","The Weeknd",1303197337.6,0.5865,0.6425,127.6996,2.8,-6.5938,0.06643,0.124516,0.000724315,0.18269,0.292
"6","Justin Bieber",1209776742.2,0.6468,0.6003,123.5776,3.5,-6.8473,0.10524,0.37301,0.00014491,0.22745,0.5613
"7","Imagine Dragons",1185831092.8,0.652,0.7174,124.7028,6.3,-4.6594,0.07861,0.095532,0.01343942,0.25782,0.45197
"8","Coldplay",1177847823.6,0.4727,0.5704,126.1112,4.8,-7.3571,0.03077,0.207006,0.005587765,0.17793,0.2906
"9","Khalid",1138683991.5,0.6724,0.5937,112.4157,2.8,-7.3173,0.12387,0.29101,0.034897356,0.11965,0.3725
"10","Bruno Mars",1089786295,0.6933,0.6256,116.9292,2.7,-6.1202,0.04544,0.19794,0.00000724,0.16883,0.59974
"11","Ariana Grande",1085741188.8,0.6464,0.6299,144.9917,3.6,-6.0981,0.1321,0.20547,0.000008605,0.17918,0.4701
"12","Billie Eilish",1074717264.1,0.4719,0.2978,126.3637,3.9,-11.8801,0.08403,0.73708,0.08043717,0.11752,0.2145
"13","Maroon 5",1072250761.6,0.6799,0.7105,114.8198,5.2,-5.47,0.04209,0.1308085,0,0.19294,0.6437
"14","The Chainsmokers",1039670125.9,0.6062,0.6899,114.189,4.7,-6.3368,0.05081,0.11309,0.000886606,0.17001,0.4413
"15","Shawn Mendes",1011131372.8,0.6415,0.6548,119.8948,7,-6.1276,0.08475,0.14674,0.0000273,0.14039,0.55336
"16","Eminem",974858773.4,0.7704,0.7826,121.3898,4.8,-3.7217,0.18474,0.127956,0.000000539,0.23926,0.5186
"17","Calvin Harris",954854185.1,0.7252,0.8579,121.7784,5.8,-3.601,0.05221,0.0864472,0.01469733,0.20567,0.6319
"18","Harry Styles",934720761,0.5792,0.6212,121.3434,5,-5.5331,0.04246,0.31592,0.005799966,0.14783,0.42682
"19","Olivia Rodrigo",885420822.7,0.4926,0.4495,146.8591,5.5,-8.117,0.08377,0.52693,0.000003094,0.14704,0.31709
"20","Halsey",883592642.9,0.6683,0.6458,112.7369,5,-5.9067,0.07345,0.191736,0.000001584,0.1698,0.5363
"21","Rihanna",857266695.8,0.6399,0.6097,134.5486,6.2,-5.9273,0.08226,0.2404095,0.01213083,0.09211,0.4289
"22","Avicii",852330959.7,0.5964,0.7767,122.2064,4.1,-4.9839,0.04848,0.119763,0.082933542,0.16347,0.4716
"23","Camila Cabello",841882324.3,0.7074,0.6508,106.7041,6.7,-5.4816,0.05952,0.18804,0.00006855,0.13562,0.5823
"24","Lil Nas X",813516767,0.7553,0.6215,144.0611,5.3,-6.2073,0.12023,0.122404,0.000007357,0.15956,0.6153
