"","artist","avg_views","avg_dance","avg_energy","avg_tempo","avg_key","avg_loudness","avg_speech","avg_acoust","avg_instru","avg_live","avg_valence"
"1","Ed Sheeran",1546020776.9,0.7136,0.6089,105.693,4.7,-5.5264,0.05744,0.3083,0.00006489,0.17281,0.566
"2","CoComelon",1460167121.1,0.7317,0.4002,158.8619,3.8,-10.8334,0.04291,0.5296,0.000016688,0.11709,0.8238
"3","Katy Perry",1312063207.5,0.6818,0.7655,122.6056,5.3,-4.586,0.0521,0.0411852,0.000004499,0.25363,0.6014
"4","Charlie Puth",1216759419.1,0.7434,0.565,109.9254,4.2,-6.1877,0.08533,0.38121,0.008599852,0.1101,0.6109
"5","Luis Fonsi",1162811303.1,0.6446,0.7417,128.1499,4,-5.1482,0.07795,0.31469,0.000042489,0.18304,0.6448
"6","Justin Bieber",1099106023.6,0.6468,0.6003,123.5776,3.5,-6.8473,0.10524,0.37301,0.00014491,0.22745,0.5613
"7","Daddy Yankee",1087192684.2,0.7724,0.8212,103.7047,3.9,-4.7834,0.06922,0.13392,0.0000197,0.13871,0.6822
"8","Bruno Mars",1024091922.7,0.6933,0.6256,116.9292,2.7,-6.1202,0.04544,0.19794,0.00000724,0.16883,0.59974
"9","Macklemore & Ryan Lewis",1012205556,0.6538,0.6699,102.1451,4.9,-6.233,0.15899,0.22342,0.000015151,0.21397,0.50833
"10","Coldplay",999727788.4,0.4727,0.5704,126.1112,4.8,-7.3571,0.03077,0.207006,0.005587765,0.17793,0.2906
"11","Calvin Harris",975847613.9,0.7252,0.8579,121.7784,5.8,-3.601,0.05221,0.0864472,0.01469733,0.20567,0.6319
"12","BLACKPINK",939296198.9,0.7476,0.7681,127.612,5,-4.858,0.09614,0.061451,0.0002345,0.23642,0.5337
"13","DJ Snake",918026835.5,0.6739,0.7901,124.0074,6.4,-4.245,0.10768,0.058166,0.095362492,0.15406,0.30885
"14","Eminem",911932371,0.7704,0.7826,121.3898,4.8,-3.7217,0.18474,0.127956,0.000000539,0.23926,0.5186
"15","Imagine Dragons",909378523.8,0.652,0.7174,124.7028,6.3,-4.6594,0.07861,0.095532,0.01343942,0.25782,0.45197
"16","Enrique Iglesias",886027060.8,0.6579,0.7206,123.774,5.8,-5.0543,0.05753,0.23664,0.000041868,0.1135,0.5882
"17","Shakira",881813978.6,0.7686,0.6524,124.492,5.4,-6.5398,0.09141,0.26992,0.000019364,0.15094,0.6236
"18","Fifth Harmony",857443647.5,0.6976,0.7587,122.1253,6,-4.6551,0.07812,0.039361,0.00012796,0.13984,0.5868
"19","Wiz Khalifa",847770234.9,0.6562,0.7062,141.663,6.2,-5.6773,0.1427,0.16549,0.000000103,0.20692,0.5556
"20","J Balvin",846487769.3,0.7482,0.6762,123.5983,5.9,-5.5825,0.15064,0.17653,0.00036185,0.16967,0.6988
"21","Sia",844183533.6,0.5478,0.6813,125.9544,6.1,-5.1936,0.091,0.13944,0.000211352,0.09986,0.47381
"22","Maroon 5",831125233,0.6799,0.7105,114.8198,5.2,-5.47,0.04209,0.1308085,0,0.19294,0.6437
